,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
160,0.788,0.877,0,-8.351,1,0.0349,0.0237,0.00366,0.058,0.967,120.368,229853,4,1,5oZESHu8NKKiptSuAHSO5p
161,0.481,0.435,7,-11.889,1,0.0276,0.336,0.869,0.368,0.513,103.131,156160,4,6,2nnEgQ19F0AklFUsLDKeyJ
162,0.802,0.687,4,-6.05,1,0.222,0.113,3.85e-06,0.11,0.569,123.935,326960,4,4,4KCjaHCQMIyi0x1sTTQV2j
163,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,268320,4,3,59dLtGBS26x7kc0rHbaPrq
164,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,4,0,1LTgbCS6YUFi5ge1ctZZc0
165,0.918,0.918,10,-2.218,0,0.0954,0.344,5.35e-06,0.0243,0.882,110.024,199907,4,5,6RcQOut9fWL6FSqeIr5M1r
166,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,230133,4,5,3RmKpob8xzv1pzHEQrMJah
167,0.535,0.887,11,-3.106,1,0.0449,0.000304,2.23e-06,0.257,0.445,126.01,215160,4,3,6qYGUxPjQt5PJtWdiNppZx
168,0.87,0.758,2,-3.977,1,0.252,0.155,0.0,0.0534,0.855,92.082,250667,4,4,2YXY0uVfVXn15oOVZDji80
169,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533,4,1,1ynmMEK1fkyiZ6Z6F3ThEt
170,0.55,0.611,3,-10.657,1,0.0443,0.0392,0.0,0.0631,0.626,168.512,290960,4,10,0jHkgTtTaqg5LNCiYDQPUB
171,0.636,0.761,3,-6.389,0,0.0306,0.0517,0.0,0.0642,0.736,93.896,257067,4,5,4cKGldbhGJniI8BrB3K6tb
172,0.937,0.654,8,-11.187,1,0.322,0.00533,1.26e-06,0.0542,0.607,128.462,262827,4,4,4vvOv6MDFFPpEb1gwwb2ZD
173,0.567,0.667,9,-11.2,0,0.0331,0.155,5.79e-05,0.285,0.607,103.959,176173,4,8,3NEXHif5VQoVe3A9yidyBv
174,0.42,0.74,8,-10.35,1,0.0513,0.557,0.0128,0.145,0.947,190.962,154360,4,10,0MHBcs8i2GXPO2EjHW9RRy
175,0.692,0.651,0,-7.466,1,0.0296,0.203,0.0,0.114,0.966,126.815,165920,4,1,2EiyrT9qY8aSzOZXffkxWK
176,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,220573,4,0,2ymeOsYijJz09LfKw3yM2x
177,0.559,0.718,7,-8.534,1,0.0599,0.364,0.0182,0.0535,0.965,120.24,179693,4,0,4z7OCDAAIZxfzQ6qyUSx1O
178,0.439,0.338,10,-10.108,1,0.0252,0.484,0.00042,0.188,0.216,93.573,265613,4,2,4GBPZmnLHEMdthyo2RDolF
179,0.529,0.741,3,-5.661,1,0.0268,0.116,1.22e-06,0.0736,0.455,100.008,205240,4,9,75fuzn623bYyKISKlFHdCw
180,0.515,0.218,5,-10.071,1,0.0287,0.828,0.0,0.302,0.534,102.997,158933,4,2,0qYok0f8O5DE8yJSo146dn
181,0.695,0.83,5,-7.167,1,0.122,0.404,1.94e-06,0.386,0.669,109.423,171987,4,7,68UtD4etxwmnStT24vi4qP
